keyword,occurs
cloud,97
python,22
aws,21
distributed,17
go,13
azure,12
linux,12
sql,10
docker,10
javascript,10
kubernetes,9
connect,8
processing,8
google cloud,7
airflow,7
server,6
clean,5
http,5
excel,4
iam,4
organizations,4
pipeline,4
spark,4
git,4
java,4
click,4
rust,3
kafka,3
r,3
gcp,3
c++,3
tableau,3
scheme,3
data warehousing,3
c#,2
powershell,2
flask,2
microservice,2
scala,2
looker,2
vmware cloud on aws,2
forecast,2
typescript,2
data warehouse,2
django,2
streaming,2
desktop,2
backup,1
sass,1
s3,1
trusted advisor,1
tea,1
ruby,1
svg,1
aws lambda,1
self,1
batch,1
shell,1
snowflake,1
fancy,1
reason,1
cool,1
documentation,1
graphql,1
hadoop,1
helm,1
hive,1
html,1
dbt,1
kit,1
rds,1
kotlin,1
cloudfront,1
less,1
logos,1
micro service,1
modelling,1
bigquery,1
ci,1
