descriptions,index
"If you are a FULLY REMOTE - Data Engineer with experience, please read on!What You Need for this Position Data Analysis Data Warehouse ETL Azure Linux Python System Administration GolangSo, if you are a FULLY REMOTE - Data Engineer with experience, please apply today!Colorado employees will receive paid sick leave. For additional information about available benefits, please contact Justin SandyEmail Your Resume In Word ToLooking forward to receiving your resume through our website and going over the position with you. Clicking apply is the best way to apply, but you may also:Justin.Sandy@CyberCoders.comPlease do NOT change the email subject line in any way. You must keep the JobID: linkedin : JS30-1664622 -- in the email subject line for your application to be considered.***Justin Sandy - Recruiter - CyberCodersApplicants must be authorized to work in the U.S.CyberCoders, Inc is proud to be an Equal Opportunity EmployerAll qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability, protected veteran status, or any other characteristic protected by law.Your Right to Work - In compliance with federal law, all persons hired will be required to verify identity and eligibility to work in the United States and to complete the required employment eligibility verification document form upon hire.CyberCoders will consider for Employment in the City of Los Angeles qualified Applicants with Criminal Histories in a manner consistent with the requirements of the Los Angeles Fair Chance Initiative for Hiring (Ban the Box) Ordinance.",0
"Every month, billions of people leverage Facebook products to connect with friends and loved ones from across the world. On the Data Engineering Team, our mission is to support these products both internally and externally by delivering the best data foundation that drives impact through informed decision making. As a highly collaborative organization, our data engineers work cross-functionally with software engineering, data science, and product management to optimize growth, strategy, and experience for over three billion users, as well as our internal employee community. In this role, you will see a direct correlation between your work, company growth, and user satisfaction. Beyond this, you will work with some of the brightest minds in the industry, and you'll have a unique opportunity to solve some of the most interesting data challenges around efficiency and integrity, at a scale few companies can match. As we continue to expand and create, we have a lot of exciting work ahead of us!Manage and execute data warehouse plans for a product or a group of products to solve well-scoped problems.Identify the data needed for a business problem and implement logging required to ensure availability of data, while working with data infrastructure to triage issues and resolve.Collaborate with engineers, product managers and data scientists to understand data needs, representing key data insights visually in a meaningful way.Build data expertise and leverage data controls to ensure privacy, security, compliance, data quality, and operations for allocated areas of ownership.Design, build and launch new data models and visualizations in production, leveraging common development toolkits.Independently design, build and launch new data extraction, transformation and loading processes in production, mentoring others around efficient queries.Support existing processes running in production and implement optimized solutions with limited guidance.Define and manage SLA for data sets in allocated areas of ownership.Experience in the data warehouse space.Experience in custom ETL design, implementation and maintenance.Experience with object-oriented programming languages.Experience with schema design and dimensional data modeling.Experience in writing SQL statements.Experience analyzing data to identify deliverables, gaps and inconsistencies.Experience managing and communicating data warehouse plans to internal clients.Bachelor's degree in Computer Science, Computer Engineering, relevant technical field, or equivalent practical experienceExperience working with either a MapReduce or an MPP system.Knowledge and practical application of Python.Facebook's mission is to give people the power to build community and bring the world closer together. Through our family of apps and services, we're building a different kind of company that connects billions of people around the world, gives them ways to share what matters most to them, and helps bring people closer together. Whether we're creating new products or helping a small business expand its reach, people at Facebook are builders at heart. Our global teams are constantly iterating, solving problems, and working together to empower people around the world to build community and connect in meaningful ways. Together, we can help people build stronger communities - we're just getting started.Facebook is proud to be an Equal Opportunity and Affirmative Action employer. We do not discriminate based upon race, religion, color, national origin, sex (including pregnancy, childbirth, or related medical conditions), sexual orientation, gender, gender identity, gender expression, transgender status, sexual stereotypes, age, status as a protected veteran, status as an individual with a disability, or other applicable legally protected characteristics. We also consider qualified applicants with criminal histories, consistent with applicable federal, state and local law.Facebook is committed to providing reasonable accommodations for candidates with disabilities in our recruiting process. If you need any assistance or accommodations due to a disability, please let us know at accommodations-ext@fb.com.",1
"Panjiva is a data-driven technology company that uses machine learning to provide powerful search, analysis, and visualization of billions of shipping records from nearly every country in the world. More than 3,000 customers in over 100 countries, ranging from Fortune 500 companies and startups to government agencies and hedge funds, rely on our platform for supply chain intelligence. In global trade, better insight means better decision making and stronger connections between companies and governments across the globe.Recognizing Panjiva’s cutting-edge technology, S&P Global acquired Panjiva in 2018. This acquisition has grown our resources, dramatically expanded our access to data, and accelerated our growth plans.People are Panjiva’s greatest strength – join our engineering team as we map out a key part of the world economy!Job DescriptionAs a data engineer on our team, you will play a key role in developing our next-generation data science infrastructure and underlying core technologies. You will work with Panjiva’s world-class data scientists, analysts, and engineers to create products that solve important real-world business problems in a collaborative, fast-paced, and fun environment.You’ll work closely with our data science team to develop new platforms, infrastructure, and tools that will allow for machine learning applications at production scale over ever-growing datasets.You’ll design and leverage distributed computing technologies, data schemas, and APIs to construct data science pipelines. In addition, you’ll be expected to participate in augmenting our infrastructure to seamlessly integrate new data sets through constant R&D of the technologies and systems we use.Join us in building the next generation of products as we continue to deliver valuable and actionable insights to decision-makers in the $15 trillion global trade industry.ResponsibilitiesArchitect and implement distributed systems that perform complex transformations, processing, and analysis over very large scale datasetsDevelop processes to monitor and automate detection of quality regressions in raw data or in the output of Panjiva’s machine learning modelsWorking with our data scientists to turn large-scale messy, diverse, and often unstructured data into a source of meaningful insights for our customersOptimizing slow-running database queries and data pipelinesHelping enhance our search engine, capable of running sophisticated user queries quickly and efficientlyBuilding internal tools and backend services to enable our data scientists and product engineers to improve efficiencyCompensation/Benefits InformationS&P Global states that the anticipated base salary range for this position is $91,500 to $190,100. Base salary ranges may vary by geographic location.This role is eligible to receive S&P Global benefits. For more information on the benefits we provide to our employees, visit https://www.spgbenefitessentials.com/newhires.QualificationsB.S., M.S., or Ph.D. in Computer Science (or a related field) or equivalent work experience3+ years of experience working with data-at-scale in a production environmentExperience designing and implementing large-scale, distributed systemsExperience in multi-threaded software development (or some form of parallelism)Significant performance engineering experience (e.g., profiling slow code, understanding complicated query plans, etc.)Solid understanding of core algorithms and data structures, including the ability to select (and apply) the optimal ones to computationally expensive operations over data-at-scaleStrong understanding of relational databases and proficiency with SQLDeep knowledge of at least one scripting language (e.g., Python, Ruby, JavaScript)Deep knowledge of at least one compiled language (e.g., Scala, C++, Java, Go)Experience developing software on Linux-based operating systemsExperience with distributed version control systemsNice-to-HavesFamiliarity with relational database internals (especially PostgreSQL)Proficiency with cloud computing platforms, specifically AWSWorking knowledge of probability & statisticsContributions to open-source softwareExperience building customer-centric productsGrade (relevant for internal applicants only): 11S&P Global is an equal opportunity employer committed to making all employment decisions without regard to race/ethnicity, sex, pregnancy, gender identity or expression, color, creed, religion, national origin, age, disability, marital status (including domestic partnerships and civil unions), sexual orientation, military veteran status, unemployment status, or any other basis prohibited by federal, state or local law. Only electronic job submissions will be considered for employment.If you need an accommodation during the application process due to a disability, please send an email to: EEO.Compliance@spglobal.com and your request will be forwarded to the appropriate person.The EEO is the Law Poster http://www.dol.gov/ofccp/regs/compliance/posters/pdf/eeopost.pdf describes discrimination protections under federal law.20 - Professional (EEO-2 Job Categories-United States of America), IFTECH202.2 - Middle Professional Tier II (EEO Job Group), SWP Priority – Ratings - (Strategic Workforce Planning)Job ID: 257140Posted On: 2021-03-25Location: Cambridge, Massachusetts, United States",2
"Want to build new features and improve existing products that more than a billion people around the world use? Are you interested in working on highly impactful technical challenges to help the world be more open and connected? Want to solve unique, large-scale, highly complex technical problems? Our development cycle is extremely fast, and we've built tools to keep it that way. It's common to write code and have it running live on the site just hours later. We push code to the site continuously and have small teams that build products that are touched by millions of people around the world. If you work for us, you will be able to make an impact immediately. Facebook is seeking Software Engineers to join our engineering team. As a Software Engineer at Facebook, you’ll drive the development of the systems behind Facebook's products, create web applications that reach billions of people, build high volume servers and be a part of a team that’s working to help people connect with each other around the globe. This position is full-time and there are minimal travel requirements.Develop a strong understanding of relevant product area, codebase, and/or systemsDemonstrate proficiency in data analysis, programming and software engineeringProduce high quality code with good test coverage, using modern abstractions and frameworksWork independently, use available resources to get unblocked, and complete tasks on-schedule by exercising strong judgement and problem solving skillsMaster Facebook’s development standards from developing to releasing code in order to take on tasks and projects with increasing levels of complexityActively seek and give feedback in alignment with Facebook’s Performance PhilosophyExperience coding in an industry-standard language (e.g. Java, Python, C++, JavaScript)Must obtain work authorization in country of employment at the time of hire, and maintain ongoing work authorization during employmentDemonstrated software engineering experience from previous internship, work experience, coding competitions, or publicationsCurrently has, or is in the process of obtaining, a Bachelors or Masters degree in Computer Science or a related fieldFacebook's mission is to give people the power to build community and bring the world closer together. Through our family of apps and services, we're building a different kind of company that connects billions of people around the world, gives them ways to share what matters most to them, and helps bring people closer together. Whether we're creating new products or helping a small business expand its reach, people at Facebook are builders at heart. Our global teams are constantly iterating, solving problems, and working together to empower people around the world to build community and connect in meaningful ways. Together, we can help people build stronger communities - we're just getting started.Facebook is proud to be an Equal Opportunity and Affirmative Action employer. We do not discriminate based upon race, religion, color, national origin, sex (including pregnancy, childbirth, or related medical conditions), sexual orientation, gender, gender identity, gender expression, transgender status, sexual stereotypes, age, status as a protected veteran, status as an individual with a disability, or other applicable legally protected characteristics. We also consider qualified applicants with criminal histories, consistent with applicable federal, state and local law.Facebook is committed to providing reasonable accommodations for candidates with disabilities in our recruiting process. If you need any assistance or accommodations due to a disability, please let us know at accommodations-ext@fb.com.",3
"If you are a 100% REMOTE- Data Engineer (Healthcare) with experience, please read on!Top Reasons to Work with UsWe are making a major impact at the core of U.S. healthcare by implementing the latest in cutting-edge technologies. We sit right at the intersection of heathtech and fintech.The U.S. healthcare system suffers from over $300B in improper payments each year due to fraud, waste, abuse, and processing errors. Were on a mission to change that.Our team has alumni ranging from Amazon, Goldman Sachs, Cotiviti, the Centers for Medicare and Medicaid Services, and other leading healthcare and financial institutions. Were also backed by leading venture capital firms and a graduate of ERA!What You Will Be Doing Writing production-level code in languages such as Python and Rust for our data pipelines and adjacent services Designing new services to extract value in a real-time data ingestion context Architecting complex data pipelines using Apache Airflow and Kubernetes to enable human-in-the-loop machine learning models in production Innovating in data engineering by leveraging modern technologies such as Apache Arrow, Postgres Foreign Data Wrappers, Deltalake, and MLFlow Working closely with our backend and machine learning engineers to implement new APIs and services to power new in-app functionality Collaborating with our Product team to enable frontend features empowered by a robust data pipelineWhat You Need for this Position 5+ years of experience Experience building and deploying production data processing pipelines Orchestrators such as Airflow or Kubeflow At least one scripting language, preferably Python PostgreSQL Dataframe frameworks such as Pandas, Polars, Nushell, or Spark Datalakes such as Snowflake, Deltalake, Azure Synapse, or AWS Athena/GlueWhat's In It for You Competitive compensation Medical, Vision and Dental coverage Equity Flexible paid vacation policy Work in a flat organizational structure- direct access to LeadershipSo, if you are a 100% REMOTE- Data Engineer (Healthcare) with experience, please apply today!Colorado employees will receive paid sick leave. For additional information about available benefits, please contact Parker GrahamEmail Your Resume In Word ToLooking forward to receiving your resume through our website and going over the position with you. Clicking apply is the best way to apply, but you may also:Parker.Graham@CyberCoders.comPlease do NOT change the email subject line in any way. You must keep the JobID: linkedin : PG2-1661126 -- in the email subject line for your application to be considered.***Parker Graham - Lead Recruiter - CyberCodersApplicants must be authorized to work in the U.S.CyberCoders, Inc is proud to be an Equal Opportunity EmployerAll qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability, protected veteran status, or any other characteristic protected by law.Your Right to Work - In compliance with federal law, all persons hired will be required to verify identity and eligibility to work in the United States and to complete the required employment eligibility verification document form upon hire.",4
"Dear Builders, Rule-Breakers & Adventurers: WE WANT YOUHere at Sugatan, we believe in co-creating with passionate builders who love building something extraordinary out of nothing purely driven by the love of our crafts.It all started with a ludicrous question. How can we turn $1 into $3? Through the relentless pursuit of the answer, we’ve since turned $62 million into $180 million to date, empowering humans, communities & movements throughout our journey.The Sugatan culture is all about cultivating unique experiences collectively as a superorganism as we face a multitude of challenges together whilst profits are reinvested back into funding exciting projects we love. It’s a self-evolving, self-realizing organization that paves the path for others to follow. So are you ready to step up and step into your element? Walk with us.Duties & Responsibilities:Expanding and optimizing our data and data pipeline architectureWork across all functional leads creating and/or implementing methods to improve data reliability and quality as well as optimizing data flow and collectionBuild tools to provide actionable insights into key business performance metrics to optimize our services and create value for our clientsAutomating manual processes to support our current and future data initiativesAssemble large, complex data sets that meet analytics and business requirements Apply best practices that enable a quality product while keeping our data separated and secureQualifications:Must have minimum 3 years of experience as a data pipeline builder who enjoys optimizing data systems and building them from the ground upExpert of SQL and relational databases and/or AWS cloud services Experience with Python, Java, C++, Scala, etc. Bachelor’s Degree in Computer Science, Statistics, Informatics, Information Systems or another quantitative discipline or have proven work experience in a relevant positionHighly organized innovator, critical thinker, and problem solverMust work USA, Eastern Standard Time Self-managing and has no issues quoting the right time frames for delivery and hitting deadlines Minimum 6 months experience working in Digital MarketingExperience working with eCommerce businesses a plus",5
"About Our CompanyVytalize Health is a leading provider of value-based care for Medicare patients. We power independent primary care practices through bold financial incentives and smart technology. We are on a mission to accelerate the world’s transition to value-based care by taking care of the doctors who take care of us. We are the fastest growing value-based care provider in the country spanning 14 states and more than 1,000 PCPs.Visit www.vytalizehealth.com for more information.Job DescriptionThe Network Development Data Analyst will be working closely with our management team to pull information from our system of choice Trella Health. This role will also collect other publicly available data to include in reports.Using data mining to extract information from data sets and identify correlations and patterns Organising and transforming information into comprehensible structuresPerforming statistical analysis of dataUsing tools and techniques to visualise data in easy-to-understand formats, such as diagrams and graphsPreparing reports and presenting these to management Monitoring data quality and removing corrupt dataCandidate DescriptionThe ideal candidate has experience utilizing publicly available data alongside system data to help aggregate. A keen eye for detail along with the ability to complete projects within deadlines is a must. Being able to turn the data into information, information into insight and insight into business decisions is what we are looking for.Educational RequirementsBachelor’s degree in Computer Science, Engineering, Mathematics or other technical discipline (proven professional experience will be considered in lieu of a technical degree)Job RequirementsExperience with Trella Health highly preferableMust be Proficient in Microsoft Excel and Access Analytics: 2 years (Required)Data Analyst: 2 years (Required) Ability to work independently and collaborativelyExcellent written and verbal communication skillsAbility to effectively prioritize and execute tasks in a fast moving environmentHigh attention to detailJob Type: Full-time- RemoteSalary: $75,000- $95,000 base salary",6
"Senior Analytics Engineer (FULLY REMOTE)This Jobot Job is hosted by Sam MaldonadoAre you a fit? Easy Apply now by clicking the ""Apply"" button and sending us your resume.Salary $160,000 - $170,000 per yearA Bit About UsOur mission is to help and support families and our elderly through the journey of aging. Our company provides a variety of services like assistance with technology, assistance with transportation, general help, love, support, and friendship in order to maximize the best of life and to minimize depression and other health problems our elderly can face. We provide care to millions of families and our mission is to help people feel more healthy, loved, and supported in order to maintain the best lives possible in the later stages of life.Why join us?Strong Competitive SalaryStock OptionsHealth Care, Vision, DentalPTO + Paid Holidays401k MatchingCareer Growth OpportunitiesJob DetailsMust HaveAWS ExperienceSQLNoSQLNon RelationalWe need someone with a breadth of experience in a variety of databases (sql and nosql/relational and non relational), cloud and someone who has a mixture of analytics and engineering (more engineering but not as heavy as say a Data Engineer).Good Pluses to HaveLookerLookMLETLPythonRInterested in hearing more? Easy Apply now by clicking the ""Apply"" button.",7
"The Data Intelligence Group (DIG) is an important driver of BAM’s continued growth. Year over year, data plays an increasingly important role in the firm’s core businesses. The analysis, services, software, and operational expertise that DIG provides are a key part of BAM’s competitive advantage.Role OverviewWe are looking for creative and enthusiastic Software Engineers to join our team in building the best Data Platform on the street. We develop and maintain applications, APIs, and websites that help our investment teams use data to make better investment decisions. BAM’s portfolio managers, analysts and quants rely on us to provide analytics-ready data in an easily digestible format. In this role, you will:Develop services and integrate them with 3rd party APIsDesign schemas/storage patternsDeploy, Monitor, and Support applications on KubernetesCollaborate with data analysts Leverage AWS services for logging, monitoring, data storage, and moreGive and receive feedback in code reviewsParticipate in planning, scoping, and refinement exercises WHAT YOU’LL BRINGBachelors/Masters degree in Computer Science or a related field3+ years of professional experience with Python or NodeJS3+ years of professional experience with SQL/NoSQL databases2+ years of professional experience building applications with Docker on K8s1+ year of professional experience building pipelines with one Airflow, Luigi, Oozie, Nifi, or similarAbility to understand and contribute to our existing data system softwareStrong oral and written communication skills",8
"About Datadog:We're on a mission to build the best platform in the world for engineers to understand and scale their systems, applications, and teams. We operate at high scale—trillions of data points per day—allowing for seamless collaboration and problem-solving among Dev, Ops and Security teams globally for tens of thousands of companies. Our engineering culture values pragmatism, honesty, and simplicity to solve hard problems the right way.Students can sign up anytime for a free Datadog Pro account!The Opportunity:We’re looking for recent graduates to join us to help collect, aggregate, visualize, and analyze extremely high-scale metrics, logs, and application data. You'll join one of Datadog's software teams and work alongside other engineers to help solve complex problems. Whether you are writing a new integration, building data pipelines, or working with the open source community, our interns are key contributors to our product. This role will be based in our New York or Boston offices.In This Role You Will:Solve a scaling bottleneck in a critical service, deploy a new feature to production and progressively roll it out with feature flags, and investigate and fix a production issue from a service your team owns. You will also create a way to optimize a service to handle more traffic and in partnership, with your team, planning the most important projects to work on next.You Are:You are in the process of receiving/have a degree in Computer Science, Software Engineering, or a related fieldYou are targeting a 2022 full-time start dateYou are comfortable coding in one or more languagesYou value code simplicity and performanceYou have worked as a software engineering intern or have related industry experienceYou want to work in a fast-paced environment that values its employees and customersYou are a self-starter who enjoys partnering with other engineers and solving difficult problemsBonus Points:You have worked at high scale with systems like Redis, Cassandra, or KafkaYou wrote your own data pipelines once or twice beforeYou have significant experience with Go or PythonWhy You Should Apply:Mentorship opportunities with team members, leadership, and beyondContinuous career and professional development opportunitiesTraining to develop an in-depth understanding of our product and spaceRelocation stipend and travel benefitsIntern cohort and monthly company social eventsNetworking opportunities with across all teams at DatadogUnlimited snacks & drinks in our officeCatered Lunches on Monday, Wednesday, and FridayCommuter benefitsBeautiful offices in convenient locations with amazing viewsAs the COVID-19 crisis continues to change globally, our hiring plans will change with it. We are following current company safety guidelines with the goal to hire team members who will work within one of our offices (NYC, Boston, Paris) once it’s safe to do so. We will update all applicants with the appropriate changes when necessary.Equal Opportunity at Datadog:Datadog is an Affirmative Action and Equal Opportunity Employer and is proud to offer equal employment opportunity to everyone regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity, veteran status, and more. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements.Your Privacy:Any information you submit to Datadog as part of your application will be processed in accordance with Datadog’s Applicant and Candidate Privacy Notice.",9
