keyword,occurs
sql,63
cloud,54
aws,43
azure,39
python,35
processing,32
data warehouse,30
spark,19
distributed,17
data pipeline,16
tableau,15
documentation,10
data warehousing,10
airflow,9
java,9
hadoop,9
streaming,7
snowflake,7
scala,7
google cloud,6
hive,5
kafka,5
batch,5
redshift,5
docker,4
git,4
go,4
terraform,4
power bi,3
mongo db,3
linux,3
kubernetes,3
server,3
data bricks,3
databricks,3
dbt,3
excel,3
amplify,2
less,2
ansible,2
r,2
organizations,2
pipeline,2
lambda,2
kinesis,2
fast api,1
s3,1
big query,1
cool,1
apex,1
athena,1
connect,1
shell,1
gcp,1
self,1
clean,1
looker,1
flask,1
aws glue,1
charity,1
ec2,1
io,1
org,1
numpy,1
crystal,1
modelling,1
lean,1
