keyword,occurs
,1448298
sql,161
cloud,90
io,58
python,57
aws,53
processing,40
java,39
distributed,38
data warehouse,38
azure,35
spark,28
oz,27
go,27
streaming,23
ci,23
connect,23
xs,20
tableau,19
mask,16
linux,16
ec,15
hy,15
dm,15
shell,14
cd,13
c++,12
click,12
xc,12
ox,11
kafka,10
excel,10
pipeline,10
mq,9
nu,9
ruby,8
data pipeline,8
airflow,8
lean,7
organizations,6
c,6
kubernetes,6
redshift,6
e,6
documentation,6
server,6
data warehousing,6
java script,6
mongo db,4
looker,4
comprehend,4
nl,4
php,4
self,4
terraform,4
batch,4
j,4
config,4
clean,4
docker,4
databricks,4
flask,4
c#,4
git,4
hadoop,4
aws glue,2
dylan,2
django,2
snowflake,2
awk,2
ec2,2
asp,2
dbt,2
vue,2
workspaces,2
xml,2
scala,2
backup,2
less,2
pyspark,2
fast api,2
big query,2
hive,2
iam,2
microservice,2
metal,2
kinesis,2
lambda,2
eq,1
r,1
gn,1
julia,1
kit,1
krl,1
