keyword,occurs
cloud,114
sql,93
aws,61
azure,56
python,54
processing,49
data warehouse,39
data pipeline,29
tableau,25
spark,25
distributed,22
snowflake,18
airflow,16
data warehousing,15
hadoop,11
java,11
git,9
docker,9
documentation,9
kafka,9
google cloud,9
streaming,8
scala,8
batch,7
hive,7
linux,6
redshift,6
power bi,6
pipeline,6
organizations,5
server,4
go,4
terraform,4
databricks,4
dbt,4
data bricks,3
excel,3
kinesis,3
connect,3
shell,3
mongo db,3
modelling,2
s3,2
rds,2
r,2
self,2
ec2,2
clean,2
looker,2
less,2
lean,2
lambda,2
kubernetes,2
amplify,2
io,2
athena,1
aws glue,1
cloud watch,1
apex,1
sass,1
ansible,1
sage,1
gcp,1
charity,1
rest api,1
red,1
backup,1
flask,1
php,1
org,1
numpy,1
mq,1
crystal,1
json,1
fast api,1
big query,1
cool,1
